0	0	0
555	1	1
1939	2	2
3819	3	2
5827	4	2
7937	5	2
8339	4	2
9661	5	2
11855	6	2
12978	5	2
14576	6	2
16832	7	2
17571	6	2
19039	7	2
21702	8	2
22131	7	2
25799	8	2
26703	7	2
29676	8	2
31199	7	2
34562	8	2
35728	7	2
37705	8	2
40267	7	2
42602	8	2
44847	7	2
46692	8	2
49419	7	2
49995	8	2
53087	9	2
53999	8	2
56807	9	2
58547	8	2
61207	9	2
63223	8	2
65211	9	2
67747	8	2
69567	9	2
72403	8	2
73399	9	2
76947	8	2
77592	9	2
81511	8	2
82351	9	2
86071	8	2
86712	9	2
89436	10	2
90667	9	2
94855	10	2
95127	9	2
98827	10	2
99680	9	2
101167	10	2
104271	9	2
105111	10	2
108787	11	2
108847	10	2
113396	11	2
113459	10	2
117564	11	2
117995	10	2
121556	11	2
122499	10	2
125186	11	2
127015	10	2
129491	11	2
131659	10	2
134155	11	2
136147	10	2
138272	11	2
140676	10	2
142493	11	2
145171	10	2
146652	11	2
149700	10	2
150311	11	2
153085	12	2
154135	11	2
157087	12	2
158716	11	2
161363	12	2
163209	11	2
164973	12	2
167839	11	2
169167	12	2
172399	11	2
176900	11	2
181435	10	2
185935	9	2
190519	8	2
195067	7	2
199575	6	2
204079	5	2
208692	4	2
213219	3	2
217700	2	2
222251	1	2
226803	0	2
226804	1168.67	1870.92	1134.73
