0	0	0
612	1	3
3727	2	3
6620	3	3
9687	4	3
11035	3	3
13583	4	3
15511	3	3
16711	4	3
20083	3	3
20238	4	3
24607	3	3
24955	4	3
28889	5	3
29067	4	3
33619	3	3
33643	4	3
38167	3	3
38515	4	3
42683	3	3
43951	4	3
47271	3	3
50011	4	2
51815	3	2
52287	4	2
54058	5	2
56007	6	2
56339	5	2
57995	6	2
59915	7	2
60947	6	2
62376	7	2
64720	8	3
65503	7	3
68143	8	3
70043	7	3
72015	8	3
74619	7	3
76443	8	3
79219	7	3
80331	8	3
83727	7	3
85005	8	3
88227	7	3
89837	8	3
92727	7	3
96783	8	3
97215	7	3
100731	8	3
101801	7	3
103880	8	3
106291	7	3
107106	8	3
109971	9	3
110835	8	3
113622	9	3
115432	8	3
117144	9	3
120007	8	3
121357	9	3
124623	8	3
125863	9	3
129043	8	3
130047	9	3
133647	8	3
133751	9	3
138219	8	3
138824	9	3
142663	8	3
144627	9	3
147071	8	3
150353	9	3
151575	8	3
153243	9	3
156111	8	3
156650	9	3
159571	10	3
160635	9	3
163311	10	3
165135	9	3
167079	10	3
169711	9	3
170971	10	3
174147	9	3
174732	10	3
178533	11	3
178723	10	3
183123	10	3
187643	9	3
192055	8	3
196599	7	3
201231	6	3
205743	5	3
210327	4	3
214792	3	3
219375	2	3
223919	1	3
228407	0	3
228408	1713.23	1875.57	1631.54
