0	0	0
635	1	3
3767	2	3
6659	3	3
9693	4	3
11159	3	3
13479	4	3
15703	3	3
16653	4	3
20263	5	3
20287	4	3
24763	3	3
24940	4	2
27607	5	2
29263	4	2
30248	5	3
33826	4	3
35351	5	2
38303	4	2
38423	5	2
42335	6	2
42867	5	2
46787	6	1
47423	5	1
48949	6	2
51247	7	3
51979	6	3
54414	7	3
56443	6	3
57341	7	3
60738	8	3
60899	7	3
64433	8	3
65439	7	3
68054	8	3
69995	7	3
72134	8	2
74475	7	2
75116	8	2
77559	9	3
79095	8	3
81951	9	2
83778	8	2
85034	9	2
88263	8	2
88730	9	2
91530	10	2
92787	9	2
95319	10	2
97299	9	2
99491	10	1
100751	11	3
101754	10	3
103871	11	3
106331	10	3
106775	11	3
110161	12	3
110923	11	3
113994	12	3
115387	11	3
117699	12	3
119883	11	3
120595	12	3
124403	11	3
124751	12	2
127439	13	2
128915	12	2
130035	13	3
133439	12	3
134651	13	2
138008	12	2
138095	13	2
141554	14	2
142571	13	2
145863	14	1
146999	13	1
148335	14	2
151060	15	2
151647	14	2
152829	15	3
155624	16	3
156183	15	3
160711	15	3
165183	14	3
169671	13	3
174231	12	3
178773	11	3
183359	10	3
187959	9	3
192555	8	3
197048	7	3
201547	6	3
206071	5	3
210599	4	3
215127	3	3
219635	2	3
224159	1	3
228759	0	3
228760	1477.15	1866.37	1202.92
